Data as of,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Hispanic or Latino,Other,Footnote
07/22/2020,United States,Count of COVID-19 deaths,68377,29476,1143,6305,23256,1693,
07/22/2020,United States,Distribution of COVID-19 deaths (%),52.5,22.6,0.9,4.8,17.9,1.3,
07/22/2020,United States,Unweighted distribution of population (%),60.4,12.5,0.7,5.7,18.3,2.4,
07/22/2020,United States,Weighted distribution of population (%),41.8,16.6,0.3,10.5,28.9,1.9,
07/22/2020,Alabama,Count of COVID-19 deaths,641,577,,,35,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Distribution of COVID-19 deaths (%),50.7,45.6,,,2.8,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Unweighted distribution of population (%),65.4,26.5,0.6,1.5,4.4,1.6,
07/22/2020,Alabama,Weighted distribution of population (%),53.2,39.2,0.4,2,3.8,1.4,
07/22/2020,Arizona,Count of COVID-19 deaths,1101,84,413,38,754,53,
07/22/2020,Arizona,Distribution of COVID-19 deaths (%),45.1,3.4,16.9,1.6,30.9,2.2,
07/22/2020,Arizona,Unweighted distribution of population (%),54.4,4.4,4,3.4,31.6,2.2,
07/22/2020,Arizona,Weighted distribution of population (%),54.7,5.3,1.8,4.2,31.8,2.2,
07/22/2020,Arkansas,Count of COVID-19 deaths,206,81,,,31,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Distribution of COVID-19 deaths (%),56.9,22.4,,,8.6,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Unweighted distribution of population (%),72.2,15.4,0.8,1.6,7.7,2.3,
07/22/2020,Arkansas,Weighted distribution of population (%),60.8,24,0.7,2.5,9.9,2.1,
07/22/2020,California,Count of COVID-19 deaths,2175,587,19,994,3247,78,
07/22/2020,California,Distribution of COVID-19 deaths (%),30.6,8.3,0.3,14,45.7,1.1,
07/22/2020,California,Unweighted distribution of population (%),36.8,5.6,0.4,14.7,39.3,3.1,
07/22/2020,California,Weighted distribution of population (%),28.2,7.5,0.2,14.7,47.1,2.2,
07/22/2020,Colorado,Count of COVID-19 deaths,1019,125,13,60,404,22,
07/22/2020,Colorado,Distribution of COVID-19 deaths (%),62,7.6,0.8,3.7,24.6,1.3,
07/22/2020,Colorado,Unweighted distribution of population (%),67.9,4,0.6,3.3,21.7,2.4,
07/22/2020,Colorado,Weighted distribution of population (%),62.3,6.4,0.5,4.3,24,2.5,
07/22/2020,Connecticut,Count of COVID-19 deaths,2955,620,,53,378,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,Distribution of COVID-19 deaths (%),73.3,15.4,,1.3,9.4,0.6,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,Unweighted distribution of population (%),66.5,10.2,0.2,4.7,16.5,1.8,
07/22/2020,Connecticut,Weighted distribution of population (%),61.9,12.1,0.2,5.3,18.9,1.7,
07/22/2020,Delaware,Count of COVID-19 deaths,363,125,,,24,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Distribution of COVID-19 deaths (%),70.2,24.2,,,4.6,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Unweighted distribution of population (%),61.9,21.9,0.3,4,9.5,2.3,
07/22/2020,Delaware,Weighted distribution of population (%),60.8,22.3,0.3,4.5,9.8,2.2,
07/22/2020,District of Columbia,Count of COVID-19 deaths,74,465,,11,91,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,District of Columbia,Distribution of COVID-19 deaths (%),11.5,72.2,,1.7,14.1,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,District of Columbia,Unweighted distribution of population (%),37.1,44.9,0.2,4.3,11.3,2.3,
07/22/2020,District of Columbia,Weighted distribution of population (%),37.1,44.9,0.2,4.3,11.3,2.2,
07/22/2020,Florida,Count of COVID-19 deaths,2139,920,,70,1195,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,Distribution of COVID-19 deaths (%),49.3,21.2,,1.6,27.5,0.3,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,Unweighted distribution of population (%),53.5,15.5,0.3,2.8,26.1,1.7,
07/22/2020,Florida,Weighted distribution of population (%),33.2,17.6,0.1,2.5,45.3,1.2,
07/22/2020,Georgia,Count of COVID-19 deaths,1198,1154,,41,144,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Distribution of COVID-19 deaths (%),47,45.3,,1.6,5.7,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Unweighted distribution of population (%),52.4,31.5,0.2,4.2,9.8,1.9,
07/22/2020,Georgia,Weighted distribution of population (%),42,38.4,0.2,6.6,10.8,2,
07/22/2020,Idaho,Count of COVID-19 deaths,99,,,,11,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Distribution of COVID-19 deaths (%),86.8,,,,9.6,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Unweighted distribution of population (%),81.7,0.7,1.1,1.5,12.7,2.2,
07/22/2020,Idaho,Weighted distribution of population (%),82.7,1.1,0.7,2.4,10.8,2.4,
07/22/2020,Illinois,Count of COVID-19 deaths,3006,1799,10,333,1454,50,
07/22/2020,Illinois,Distribution of COVID-19 deaths (%),45.2,27,0.2,5,21.9,0.8,
07/22/2020,Illinois,Unweighted distribution of population (%),61,14.1,0.2,5.7,17.4,1.7,
07/22/2020,Illinois,Weighted distribution of population (%),43.1,22.3,0.1,7.7,25.2,1.5,
07/22/2020,Indiana,Count of COVID-19 deaths,2050,534,,30,111,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Indiana,Distribution of COVID-19 deaths (%),75,19.5,,1.1,4.1,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Indiana,Unweighted distribution of population (%),78.9,9.5,0.2,2.4,7.1,1.9,
07/22/2020,Indiana,Weighted distribution of population (%),59.9,23.3,0.2,3.3,11,2.4,
07/22/2020,Iowa,Count of COVID-19 deaths,630,46,14,29,60,15,
07/22/2020,Iowa,Distribution of COVID-19 deaths (%),79.3,5.8,1.8,3.7,7.6,1.9,
07/22/2020,Iowa,Unweighted distribution of population (%),85.3,3.8,0.3,2.7,6.2,1.8,
07/22/2020,Iowa,Weighted distribution of population (%),78.9,6.4,0.3,4.4,7.9,2.2,
07/22/2020,Kansas,Count of COVID-19 deaths,196,60,,,44,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,Distribution of COVID-19 deaths (%),62.2,19,,,14,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,Unweighted distribution of population (%),75.7,5.7,0.8,3.1,12.1,2.7,
07/22/2020,Kansas,Weighted distribution of population (%),70.8,8.2,0.5,4.8,13.2,2.6,
07/22/2020,Kentucky,Count of COVID-19 deaths,521,101,0,13,21,0,
07/22/2020,Kentucky,Distribution of COVID-19 deaths (%),79.4,15.4,0,2,3.2,0,
07/22/2020,Kentucky,Unweighted distribution of population (%),84.3,8.2,0.2,1.6,3.8,1.9,
07/22/2020,Kentucky,Weighted distribution of population (%),69.3,19.7,0.2,3,5.6,2.3,
07/22/2020,Louisiana,Count of COVID-19 deaths,1350,1626,11,21,77,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Distribution of COVID-19 deaths (%),43.7,52.6,0.4,0.7,2.5,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Unweighted distribution of population (%),58.6,32.3,0.6,1.8,5.2,1.5,
07/22/2020,Louisiana,Weighted distribution of population (%),49.3,38,0.4,3,7.9,1.4,
07/22/2020,Maine,Count of COVID-19 deaths,124,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
